fecha;ganador;inflacion ;pib;desempleo;dinero_tranzado;bonos10y;tasaFED;accion;sector;retorno_sector;precio_cierre;retorno
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;APH;Industrials;0.017772184;0.350423083;0.00471683
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;APTV;Industrials;0.017772184;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;ARE;Industrials;0.017772184;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;ATO;Utilities;0.000666667;23.85416667;0.01444871
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AVB;Financials;0.024065289;27.375;0.03733517
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AVGO;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AVY;Industrials;0.017772184;28.98958333;0.02714738
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AWK;Utilities;0.000666667;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AXON;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AXP;Financials;0.024065289;13.84979916;0.02047892
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;AZO;Consumer Discretionary;0.008961497;29.41666667;0.0119034
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BAC;Financials;0.024065289;21.27083333;0.03248416
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BALL;Materials;0.011184283;1.690755407;-0.00499945
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BAX;Health Care;0.01916236;12.00095073;-0.00034259
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BBY;Consumer Discretionary;0.008961497;2.015046328;-0.03285167
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BDX;Health Care;0.01916236;20.2997969;0.00114459
